strain	Isotype	iso_group	old_strain_count	new_strain_count
JU2586	NA	109	265	1
JU2587	NA	110	265	1
JU2592	NA	111	265	1
JU2593	NA	112	265	1
JU2610	NA	113	265	1
JU2611	NA	114	265	19
MY2142	NA	114	265	19
MY2144	NA	114	265	19
MY2198	NA	114	265	19
MY2208	NA	114	265	19
MY2224	NA	114	265	19
MY2239	NA	114	265	19
MY2282	NA	114	265	19
MY2294	NA	114	265	19
MY2338	NA	114	265	19
MY2434	NA	114	265	19
MY2443	NA	114	265	19
MY2491	NA	114	265	19
MY2573	NA	114	265	19
MY559	NA	114	265	19
MY579	NA	114	265	19
MY710	NA	114	265	19
MY804	NA	114	265	19
MY934	NA	114	265	19
JU2619	NA	115	265	1
JU2800	NA	117	265	2
JU2802	NA	117	265	2
JU2811	NA	118	265	1
JU2825	NA	119	265	1
JU2828	NA	120	265	3
JU2829	NA	120	265	3
JU2830	NA	120	265	3
JU2838	NA	121	265	1
JU2841	NA	122	265	1
JU2853	NA	123	265	1
JU2862	NA	124	265	1
JU2866	NA	125	265	1
JU2878	NA	126	265	1
JU2879	NA	127	265	1
JU2906	NA	128	265	1
JU2907	NA	129	265	2
JU2908	NA	129	265	2
MY2481	NA	130	265	5
JU345	NA	132	265	2
MY2001	NA	157	265	26
MY2004	NA	157	265	26
MY2011	NA	157	265	26
MY2014	NA	157	265	26
MY2050	NA	157	265	26
MY2051	NA	157	265	26
MY2054	NA	157	265	26
MY2121	NA	157	265	26
MY2137	NA	157	265	26
MY2199	NA	157	265	26
MY2288	NA	157	265	26
MY2339	NA	157	265	26
MY2453	NA	157	265	26
MY2502	NA	157	265	26
MY2541	NA	157	265	26
MY2579	NA	157	265	26
MY2622	NA	157	265	26
MY524	NA	157	265	26
MY561	NA	157	265	26
MY564	NA	157	265	26
MY570	NA	157	265	26
MY713	NA	157	265	26
MY792	NA	157	265	26
MY819	NA	157	265	26
MY864	NA	157	265	26
MY965	NA	157	265	26
MY2001	NA	158	265	27
MY2004	NA	158	265	27
MY2011	NA	158	265	27
MY2014	NA	158	265	27
MY2050	NA	158	265	27
MY2051	NA	158	265	27
MY2054	NA	158	265	27
MY2121	NA	158	265	27
MY2137	NA	158	265	27
MY2199	NA	158	265	27
MY2288	NA	158	265	27
MY2339	NA	158	265	27
MY2453	NA	158	265	27
MY2502	NA	158	265	27
MY2541	NA	158	265	27
MY2579	NA	158	265	27
MY2622	NA	158	265	27
MY508	NA	158	265	27
MY524	NA	158	265	27
MY561	NA	158	265	27
MY564	NA	158	265	27
MY570	NA	158	265	27
MY713	NA	158	265	27
MY792	NA	158	265	27
MY819	NA	158	265	27
MY864	NA	158	265	27
MY965	NA	158	265	27
MY2022	NA	159	265	14
MY2024	NA	159	265	14
MY2078	NA	159	265	14
MY2291	NA	159	265	14
MY2630	NA	159	265	14
MY2636	NA	159	265	14
MY2640	NA	159	265	14
MY2681	NA	159	265	14
MY2684	NA	159	265	14
MY2691	NA	159	265	14
MY684	NA	159	265	14
MY882	NA	159	265	14
MY2042	NA	160	265	13
MY2097	NA	160	265	13
MY2138	NA	160	265	13
MY2347	NA	160	265	13
MY2373	NA	160	265	13
MY2406	NA	160	265	13
MY2479	NA	160	265	13
MY2688	NA	160	265	13
MY589	NA	160	265	13
MY741	NA	160	265	13
MY887	NA	160	265	13
MY920	NA	160	265	13
MY990	NA	160	265	13
MY2099	NA	161	265	4
MY538	NA	161	265	4
MY673	NA	161	265	4
MY795	NA	161	265	4
MY2109	NA	162	265	3
MY2692	NA	162	265	3
MY2741	NA	162	265	3
MY2143	NA	163	265	2
MY2147	NA	163	265	2
MY2212	NA	164	265	1
MY2344	NA	165	265	6
MY2532	NA	165	265	6
MY2535	NA	165	265	6
MY881	NA	165	265	6
NIC508	NA	165	265	6
NIC512	NA	165	265	6
MY2530	NA	166	265	1
MY2585	NA	167	265	2
MY2623	NA	167	265	2
MY2635	NA	168	265	5
MY2679	NA	168	265	5
MY2689	NA	168	265	5
MY2713	NA	168	265	5
MY803	NA	168	265	5
MY2685	NA	169	265	3
MY2693	NA	169	265	3
MY2719	NA	169	265	3
MY2004	NA	170	265	23
MY2011	NA	170	265	23
MY2014	NA	170	265	23
MY2050	NA	170	265	23
MY2054	NA	170	265	23
MY2121	NA	170	265	23
MY2137	NA	170	265	23
MY2199	NA	170	265	23
MY2339	NA	170	265	23
MY2453	NA	170	265	23
MY2502	NA	170	265	23
MY2541	NA	170	265	23
MY2579	NA	170	265	23
MY508	NA	170	265	23
MY524	NA	170	265	23
MY561	NA	170	265	23
MY564	NA	170	265	23
MY570	NA	170	265	23
MY713	NA	170	265	23
MY792	NA	170	265	23
MY819	NA	170	265	23
MY864	NA	170	265	23
MY965	NA	170	265	23
MY518	NA	171	265	1
MY679	NA	172	265	2
MY991	NA	172	265	2
MY772	NA	173	265	1
NIC1049	NA	175	265	1
NIC1107	NA	176	265	1
NIC501	NA	206	265	1
NIC511	NA	207	265	1
NIC513	NA	208	265	1
NIC514	NA	209	265	1
NIC515	NA	210	265	1
NIC521	NA	211	265	2
NIC527	NA	211	265	2
NIC522	NA	212	265	1
NIC523	NA	213	265	1
NIC526	NA	214	265	1
NIC528	NA	215	265	1
NIC529	NA	216	265	1
WN2033	NA	234	265	3
WN2035	NA	234	265	3
WN2039	NA	234	265	3
WN2050	NA	235	265	2
WN2056	NA	235	265	2
XZ1513	NA	236	265	1
XZ1514	NA	237	265	1
XZ1515	NA	238	265	1
XZ1516	NA	239	265	1
