isotype	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9
ED3077	BGI3-RET7a-ED3077	UNKNOWN	ED3077	28716329	28501593	0	91.4981	27989366	586296	43639	28380	22646	16774	11488	6310	3295	1516	702	493	583	1144	2518	1179	0	1214291	2194398	1805382	1399108	1020950	381423	557986	350777	218434	134351
ED3077	Princeton1-PL_23-ED3077	UNKNOWN	ED3077	41460982	41076213	0	114.257	40433635	886214	49201	26052	19387	14770	10691	6446	3582	1839	827	376	464	1548	1636	1918	2396	2623551	2159700	1671611	1190693	836958	494479	317089	187278	104150	61211
EG4347	BGI1-RET3-EG4347	UNKNOWN	EG4347	13899138	13843364	0	168.009	13514749	279977	24498	19151	17126	13674	9924	5655	2832	1356	578	479	954	1353	4339	2493	0	661834	1223801	1041697	832196	628973	233737	343649	212586	132062	79230
EG4347	BGI2-RET3-EG4347	UNKNOWN	EG4347	15487054	15423966	0	156.642	15064079	310130	26953	20514	18784	14918	10764	6067	2964	1399	609	517	981	1411	4465	2499	0	738130	1367174	1164200	930818	703257	262368	387213	240491	150445	91159
EG4347	BGI3-RET3a-EG4347	UNKNOWN	EG4347	24450852	24352163	0	123.997	23802614	490101	40847	30246	26004	21079	15060	8720	4222	1992	778	557	686	1560	4395	1991	0	1140050	2102330	1774387	1412832	1056971	395562	582864	363425	224863	136302
EG4347	Rockman-R096.4-EG4347	UNKNOWN	EG4347	9238043	9164361	0	75.3224	9023041	189411	9574	4948	3899	2837	1945	1084	519	253	99	50	59	111	83	56	74	533156	426523	320591	217278	149713	79602	53093	30022	16266	9120
EG4349	BGI2-RET6-EG4349	UNKNOWN	EG4349	12270392	12143096	0	94.0229	11956585	253961	19332	11713	9083	6889	4735	2765	1329	553	251	190	280	365	1383	978	0	522524	953148	789162	615338	455722	166939	246340	153030	94709	57656
EG4349	BGI3-RET6a-EG4349	UNKNOWN	EG4349	32089490	31744959	0	78.4628	31275689	666240	48774	29768	23879	17177	11526	6468	3080	1401	690	548	622	883	1864	881	0	1322648	2383970	1949935	1509119	1103175	412063	605787	381413	236834	145902
EG4349	Rockman-R096.2-EG4348	UNKNOWN	EG4349	8028990	7918287	0	83.3913	7845763	163184	8028	3968	2744	2102	1399	792	351	186	86	53	41	103	68	74	48	415410	323556	234880	154777	103758	52541	32794	18029	9078	5009
EG4724	BGI1-RET5-EG4724	UNKNOWN	EG4724	12166490	12049113	0	173.498	11824401	247829	23065	17423	15433	12672	9093	5489	2816	1247	610	446	655	834	2883	1594	0	562959	1033215	867587	683748	504735	186230	270464	163489	100213	59518
EG4724	BGI2-RET5-EG4724	UNKNOWN	EG4724	9991874	9895222	0	169.283	9713966	202332	18969	14294	12117	9654	7088	4185	2130	940	432	322	498	705	2726	1516	0	465019	852833	716647	566746	419454	155402	226402	137492	85810	51316
EG4724	BGI3-RET5a-EG4724	UNKNOWN	EG4724	24276659	24040405	0	150.376	23598985	495388	45808	34435	30627	24794	18119	10735	5500	2333	1051	649	718	1175	4295	2047	0	1118039	2047102	1715940	1359749	999910	371080	541515	331347	204257	123136
EG4724	Princeton1-PL_17-EG4724	UNKNOWN	EG4724	19380129	19079612	0	124.985	18918363	395931	22495	11893	9189	6973	4696	2791	1537	649	333	210	306	1402	1293	1675	393	1258340	1033022	798137	560805	394833	217969	143082	81996	44657	25644
EG4724	Princeton1-PL_20-EG4724	UNKNOWN	EG4724	1477720	1461744	0	183.484	1439361	31618	2004	1087	900	657	505	312	176	73	33	25	51	218	217	380	103	104576	90109	72033	53010	39017	23583	15628	9399	5360	3285
EG4724	Princeton1-PL_24-EG4724	UNKNOWN	EG4724	30304445	29904690	0	205.748	29479611	677897	42916	23058	18274	14927	10986	6757	4327	2041	926	488	656	2226	2808	5378	11169	2060224	1761805	1420863	1067431	783548	509312	333595	208389	125254	78695
EG4725	BGI1-RET2-EG4725	UNKNOWN	EG4725	5668582	5601450	0	224.683	5513101	114414	9807	7140	6319	4926	3660	2129	1070	482	219	198	337	597	2583	1600	0	252204	463433	382324	295048	217516	79136	115368	68868	41796	24642
EG4725	BGI2-RET2-EG4725	UNKNOWN	EG4725	5479182	5413769	0	224.419	5330000	110015	9467	6953	6019	4662	3394	1977	1049	459	237	190	335	570	2374	1481	0	242026	442345	364004	280045	205464	74036	107616	63810	38459	22690
EG4725	BGI3-RET2a-EG4725	UNKNOWN	EG4725	9211361	9097270	0	166.814	8963952	185064	15837	11651	9784	7788	5873	3436	1666	818	307	267	281	560	2654	1423	0	413610	760816	632235	492077	361899	132926	195195	117856	71821	43403
EG4725	Princeton1-PL_20-EG4725	UNKNOWN	EG4725	5331916	5247329	0	104.578	5202986	110886	6151	3329	2504	1814	1302	792	411	172	80	58	83	365	369	490	124	368869	312173	246229	179228	127801	75819	50251	29785	16614	9926
EG4725	UChicago-EA1-EG4725	UNKNOWN	EG4725	11688343	11565975	0	114.997	11389766	256048	14545	7103	5208	4169	3062	1980	1025	464	206	138	149	367	301	900	2912	808724	691547	558763	421848	311559	219426	139323	90854	55696	37558
EG4725	UChicago2-L007-EG4725	UNKNOWN	EG4725	10767330	10629639	0	113.184	10481786	241811	14898	7676	5761	4424	3126	2136	1157	564	224	124	104	99	139	464	2837	767672	658999	535555	406541	294506	207022	131971	84046	50917	34218
EG4946	BGI1-RET7-EG4946	UNKNOWN	EG4946	12359172	11810116	0	143.74	12037978	243334	20238	14681	12246	9800	6909	3906	1894	868	394	369	745	1018	2992	1800	0	543568	992516	832303	662480	506289	197492	314614	223644	163149	113622
EG4946	BGI2-RET7-EG4946	UNKNOWN	EG4946	11134532	10620599	0	146.557	10845112	218769	18159	13111	11117	8711	6516	3740	1715	766	323	318	697	897	2833	1748	0	488270	895974	750981	602533	463380	180040	288145	207118	153264	108066
EG4946	BGI3-RET7a-EG4946	UNKNOWN	EG4946	20041898	19147185	0	132.901	19518182	394335	33183	24536	21274	16939	11831	6916	3373	1527	784	640	1056	1991	3695	1636	0	879356	1613873	1362298	1094387	842479	334070	530953	382146	280710	202257
EG4946	Princeton1-PL_10-EG4946	UNKNOWN	EG4946	19194002	19016963	0	108.654	18724504	407087	22472	12055	8699	6585	4607	2721	1450	631	290	135	222	683	730	590	541	1125275	908746	686201	484560	342748	189341	124272	70726	38000	21608
EG4946	Princeton1-PL_11-EG4946	UNKNOWN	EG4946	42541726	42142030	0	108.315	41472645	921517	51168	26763	20049	15416	10966	6774	3679	1750	809	384	364	786	1195	2407	5054	2766059	2306539	1792374	1325870	948006	601375	387577	231443	135150	81130
GXW1	BGI1-RET6-GXW1	UNKNOWN	GXW1	4817592	4783212	0	114.642	4695532	97655	7168	4788	4000	2977	1919	1114	498	199	128	123	222	267	605	397	0	207465	371378	302300	230102	164289	59879	85068	50523	29478	16387
GXW1	BGI2-RET6-GXW1	UNKNOWN	GXW1	14018386	13910969	0	98.0054	13669603	282140	20324	13019	10427	7769	5222	2921	1448	611	258	244	439	590	2059	1312	0	613812	1115480	926445	724636	532614	196704	291068	180908	110509	66057
GXW1	BGI3-RET6b-GXW1	UNKNOWN	GXW1	26291148	26090341	0	89.3758	25636705	529892	38468	24763	20002	14914	10324	5668	2725	1180	634	510	570	1215	2470	1108	0	1127650	2034120	1671353	1295616	947341	353991	520606	327426	203073	122425
GXW1	MMP-ML_2-GXW1	UNKNOWN	GXW1	5142862	5073945	0	75.2348	5021163	105948	5515	2939	2256	1649	1246	750	403	179	116	92	78	75	106	168	179	350229	294651	233136	173043	122496	83820	54692	34668	22046	13947
GXW1	MMP-ML_3-GXW1	UNKNOWN	GXW1	8883538	8785179	0	76.1362	8672903	183182	9331	5116	3967	2993	2179	1273	686	357	185	124	117	117	200	308	500	618881	521797	412031	306453	217473	149898	97414	60860	38413	24663
GXW1	MMP-ML_5-GXW1	UNKNOWN	GXW1	4005090	3961418	0	87.0942	3909658	82644	4252	2363	1841	1319	982	584	321	154	67	40	31	42	90	304	398	281105	238462	189390	139985	99947	68725	44663	28469	17491	11415
GXW1	MMP-ML_6-GXW1	UNKNOWN	GXW1	3968972	3919874	0	77.5146	3875053	81732	4208	2225	1734	1348	875	531	309	149	67	44	40	53	97	185	322	277153	234708	186849	138603	98804	68878	44175	27875	17762	11218
GXW1	MMP-ML_7-GXW1	UNKNOWN	GXW1	7566986	7470580	0	72.9082	7389241	154427	8043	4525	3368	2475	1749	1024	513	272	142	68	77	75	134	375	478	525870	445141	351831	260495	186150	127148	82145	51587	32743	20998
GXW1	Princeton1-PL_3-GXW1	UNKNOWN	GXW1	18678839	18299491	0	96.0583	18238505	386123	20348	10469	7592	5654	3967	2333	1162	524	214	101	169	409	396	445	428	1085799	875817	662010	452921	307815	157606	98761	55072	28330	15874
GXW1	Princeton1-PL_4-GXW1	UNKNOWN	GXW1	5496660	5428814	0	84.6367	5365653	114562	6050	3219	2337	1776	1198	707	398	164	85	35	31	128	140	125	52	349603	285235	217301	151661	103860	55523	35396	19297	9889	5357
JT11398	BGI1-RET2-JT11398	UNKNOWN	JT11398	10969585	10919784	0	162.895	10695516	219665	14948	9798	7983	5854	3851	2225	1143	590	329	310	476	839	3988	2070	0	463878	833934	685155	530226	390225	141280	205023	125357	75503	44752
JT11398	BGI2-RET2-JT11398	UNKNOWN	JT11398	10998978	10949043	0	159.288	10725453	220364	15046	9534	7644	5723	3712	2084	1142	588	328	269	462	857	3774	1998	0	463407	830260	680070	523609	383716	138575	200706	122210	73495	44091
JT11398	BGI3-RET2a-JT11398	UNKNOWN	JT11398	8409764	8368726	0	138.852	8203088	167830	11298	7188	5522	4146	2741	1584	801	415	218	133	212	505	2785	1298	0	357963	645885	531231	414809	303110	111074	161268	98623	60138	35927
JT11398	UChicago-EA2-JT11398	UNKNOWN	JT11398	15982269	15901137	0	150.622	15557635	353042	20773	11665	8901	7350	5374	3246	1981	1090	617	357	347	475	599	1968	6849	1201281	1041302	849857	658319	491893	349872	223978	145803	91789	60701
JT11398	UChicago2-L008-JT11398	UNKNOWN	JT11398	19577332	19476749	0	100.2	19065904	436028	25406	13994	10092	7730	5514	3240	1860	1032	508	277	246	253	431	924	3893	1431894	1219458	976490	746525	539252	374918	237456	150636	91905	59204
JU1088	BGI1-RET3-JU1088	UNKNOWN	JU1088	14872672	14702895	0	156.341	14463342	302897	26434	19789	17103	13833	9919	5766	2854	1446	615	475	927	1118	3801	2353	0	699544	1291203	1096866	870142	652810	242644	357795	222218	138012	83653
JU1088	BGI2-RET3-JU1088	UNKNOWN	JU1088	17445994	17243678	0	151.193	16967420	352974	31147	23153	20705	16495	11960	6892	3701	1699	702	555	982	1244	3991	2374	0	820312	1515986	1286392	1027292	771933	287246	424693	267240	166994	102276
JU1088	BGI3-RET3b-JU1088	UNKNOWN	JU1088	26110157	25805156	0	122.556	25408087	531528	45034	32632	27818	22272	16778	9406	4763	2205	892	569	662	1434	4051	2026	0	1209995	2225384	1882123	1494224	1116740	418210	616737	386903	243533	149378
JU1088	MMP-ML_2-JU1088	UNKNOWN	JU1088	4134890	4063652	0	82.0992	4037188	84994	4337	2335	1732	1344	989	608	356	209	87	78	72	81	120	137	223	282360	238923	189852	142356	102789	70859	45766	29085	18345	11983
JU1088	MMP-ML_3-JU1088	UNKNOWN	JU1088	6391676	6300943	0	82.1378	6240372	131533	6665	3710	2681	2091	1477	936	524	287	156	115	108	119	156	243	503	445775	380273	303642	226675	163481	113644	72979	46189	28757	18509
JU1088	MMP-ML_5-JU1088	UNKNOWN	JU1088	3453703	3404378	0	90.7575	3370835	71673	3748	2019	1565	1119	849	530	271	130	70	40	27	32	95	288	412	242039	207342	164751	123772	89250	61775	39677	25108	15577	10192
JU1088	MMP-ML_6-JU1088	UNKNOWN	JU1088	5135408	5052277	0	82.5809	5013129	105938	5641	2977	2312	1646	1212	753	395	224	96	72	41	60	128	287	497	357931	306309	245888	183312	131383	92228	59095	37429	23273	15244
JU1088	MMP-ML_7-JU1088	UNKNOWN	JU1088	9331975	9179765	0	79.1187	9111245	192034	10005	5173	3972	3043	2135	1225	667	372	222	105	95	113	233	518	818	648665	550257	440064	328295	235784	163540	104720	66569	41414	26356
JU1088	Rockman-R096.4-JU1088	UNKNOWN	JU1088	7893523	7785683	0	83.6852	7708020	162755	8741	4515	3079	2430	1676	917	499	221	107	61	40	142	146	93	81	456690	370671	280488	188986	130488	68910	45816	25973	13543	7911
JU1172	BGI1-RET4-JU1172	UNKNOWN	JU1172	13373767	13270752	0	144.579	13034370	274612	19432	11860	8923	6702	4376	2528	1190	626	294	323	1012	862	4032	2625	0	579442	1050172	866399	669958	494066	180916	264144	160513	96724	56680
JU1172	BGI2-RET4-JU1172	UNKNOWN	JU1172	11650520	11559871	0	150.953	11356235	237779	16691	10135	7648	5790	3996	2199	1035	504	276	261	737	1043	3916	2275	0	502919	915851	755644	582994	430359	156420	230861	139555	84822	50162
JU1172	BGI3-RET4b-JU1172	UNKNOWN	JU1172	25685045	25478578	0	104.377	25042539	521185	37879	23429	17881	13395	8950	4975	2477	1306	747	685	841	2000	4928	1828	0	1120211	2044008	1702528	1339217	994553	376631	560443	355445	221813	137111
JU1200	BGI1-RET2-JU1200	UNKNOWN	JU1200	13923714	13897093	0	151.591	13540693	283733	24500	18880	16447	13228	9617	5546	2568	1253	526	354	628	899	2944	1898	0	638152	1173072	985673	779417	578598	214222	314950	194286	120858	72592
JU1200	BGI2-RET2-JU1200	UNKNOWN	JU1200	13628466	13602487	0	147.614	13255060	277622	23709	18191	16083	13008	9271	5283	2446	1217	519	386	589	849	2576	1657	0	621594	1139084	953652	750238	555182	205393	301064	185320	114008	68748
JU1200	BGI3-RET2a-JU1200	UNKNOWN	JU1200	24712092	24661997	0	126.505	24038107	503570	43240	32567	28660	23237	17199	9828	4800	2259	934	602	589	1187	3480	1833	0	1143212	2110102	1786416	1420368	1060906	397768	586091	367815	229686	140441
JU1200	Princeton1-PL_17-JU1200	UNKNOWN	JU1200	26371843	26290098	0	95.3086	25749215	539754	28824	15935	12036	9185	6356	3805	1774	851	352	177	269	1010	947	1069	284	1674408	1367938	1057786	735185	517209	282530	183362	105323	55834	32777
JU1200	Princeton1-PL_21-JU1200	UNKNOWN	JU1200	20395549	20337389	0	86.2293	19911673	422153	21872	11671	8905	6711	4692	2695	1335	649	285	163	228	762	669	874	212	1323441	1092155	846168	599979	423229	237088	154432	88364	47673	27966
JU1200	Princeton1-PL_24-JU1200	UNKNOWN	JU1200	46496429	46354997	0	100.075	45337111	1009438	52291	27121	20721	15668	11560	7146	3895	1899	872	425	354	875	1122	2017	3914	2967845	2468468	1937067	1415502	997464	630128	400651	240272	137814	84247
JU1212	BGI1-RET6-JU1212	UNKNOWN	JU1212	4479127	4449428	0	146.279	4365267	88400	6662	4947	4051	3175	2154	1124	623	277	147	150	350	413	861	526	0	203650	364313	296902	227414	162432	58645	83271	49499	29095	16244
JU1212	BGI2-RET6-JU1212	UNKNOWN	JU1212	11722212	11640418	0	121.828	11429894	229768	16829	11994	9901	7571	5226	3006	1470	690	265	236	521	743	2539	1559	0	542588	991435	829022	650611	477898	176906	258887	160532	98463	57623
JU1212	BGI3-RET6a-JU1212	UNKNOWN	JU1212	30940894	30722385	0	97.1505	30179406	605559	43869	31141	26247	19307	13575	7707	3771	1656	747	563	731	1765	3419	1431	0	1391413	2507997	2073508	1619127	1180551	441760	648401	409119	252786	152547
JU1213	BGI1-RET5-JU1213	UNKNOWN	JU1213	10942653	10846384	0	139.035	10652412	220418	18467	13379	11699	9161	6359	3653	1859	849	329	244	479	549	1660	1136	0	492544	893123	731970	568274	410397	149270	216162	127715	76022	43694
JU1213	BGI2-RET5-JU1213	UNKNOWN	JU1213	9807554	9721335	0	145.342	9546849	196743	16911	12194	10635	8250	5841	3412	1772	731	284	267	427	549	1577	1112	0	439343	799299	657879	511384	368951	135226	193515	114965	68974	39851
JU1213	BGI3-RET5a-JU1213	UNKNOWN	JU1213	19421400	19249128	0	124.477	18906880	392388	33001	23841	20455	16330	11404	6706	3407	1510	595	395	490	605	2063	1330	0	867176	1571279	1291779	1006975	727550	266145	385756	230129	137368	80123
JU1213	MMP-ML_2-JU533	UNKNOWN	JU1213	4082845	4010281	0	68.4699	3987807	83195	4163	2216	1671	1314	993	562	310	150	75	38	43	48	68	72	120	274060	227758	178260	132087	93860	63119	41195	25838	16386	10468
JU1213	MMP-ML_3-JU533	UNKNOWN	JU1213	6877484	6777126	0	72.9686	6715644	141306	7079	3847	3027	2289	1554	947	584	252	133	86	77	107	107	150	295	471502	395551	308373	229380	161882	109524	70126	43813	27340	17452
JU1213	MMP-ML_5-JU533	UNKNOWN	JU1213	3179263	3133877	0	74.0367	3103912	65557	3355	1900	1378	1093	767	446	237	121	37	26	26	17	47	154	190	219499	184070	144927	106846	75721	51381	32733	20286	12694	7914
JU1213	MMP-ML_6-JU533	UNKNOWN	JU1213	4412870	4340046	0	70.1037	4308429	91301	4607	2402	1961	1432	1028	626	342	179	68	22	22	55	58	126	212	302450	253260	199842	147944	104912	71520	46152	28634	17953	11591
JU1213	MMP-ML_7-JU533	UNKNOWN	JU1213	8266519	8129564	0	70.6146	8072778	169314	8606	4617	3593	2625	1826	1068	650	286	116	68	66	78	152	263	413	564061	470550	369149	272869	192957	130722	83988	51882	31903	20299
JU1242	BGI1-RET4-JU1242	UNKNOWN	JU1242	18524260	18383154	0	103.631	18050604	373572	28395	19216	16527	12452	8769	4953	2547	1056	468	323	502	604	2483	1789	0	840445	1553412	1297536	1020818	750106	277643	410060	252438	154963	94079
JU1242	BGI2-RET4-JU1242	UNKNOWN	JU1242	17019188	16888063	0	107.44	16584630	342038	26060	17904	14990	11583	8065	4495	2199	974	425	299	673	740	2397	1716	0	771787	1420402	1186646	932192	683711	253278	373296	231832	142634	87562
JU1242	BGI3-RET4b-JU1242	UNKNOWN	JU1242	31746398	31494216	0	95.852	30924915	638603	51038	35861	30791	23818	16490	9407	4749	2069	955	671	783	1585	3301	1362	0	1459350	2709801	2293193	1820347	1360538	517076	773697	494980	315752	198718
JU1246	BGI1-RET3-JU1246	UNKNOWN	JU1246	17132320	17003762	0	115.669	16687045	341256	27505	20058	17299	13418	9644	5453	2642	1182	436	364	754	1001	2505	1758	0	801014	1481034	1242026	985799	734363	272096	399792	249659	153547	90504
JU1246	BGI2-RET3-JU1246	UNKNOWN	JU1246	17354392	17223243	0	115.453	16903654	344867	27847	20456	17497	13900	9701	5427	2669	1126	507	353	688	955	2858	1887	0	811441	1501272	1267808	1007588	752343	279494	411267	257260	159896	95232
JU1246	BGI3-RET3b-JU1246	UNKNOWN	JU1246	27085970	26879718	0	98.5424	26387949	542964	42931	30477	25962	19929	14410	8072	4158	1704	652	390	457	1046	3059	1810	0	1249630	2302651	1932725	1533985	1142307	424647	628236	394794	244920	146753
JU1395	BGI2-RET6-JU1395	UNKNOWN	JU1395	7041943	7009283	0	111.231	6864021	143124	10586	6514	5429	3984	2747	1539	829	343	156	128	208	314	1176	845	0	300740	547598	455726	356205	262619	97502	142791	89143	55909	34628
JU1395	BGI3-RET6a-JU1395	UNKNOWN	JU1395	16857466	16777309	0	87.7253	16437823	341759	24938	16026	12359	8936	5987	3254	1578	757	424	350	465	708	1353	749	0	699087	1255899	1026943	797577	578776	215889	317705	199896	125022	77902
JU1400	BGI1-RET4-JU1400	UNKNOWN	JU1400	17772014	16673282	0	75.5006	17332264	353843	25402	17099	13797	10773	7385	4104	2001	913	419	243	318	430	1703	1320	0	788155	1452907	1251502	1019568	789195	307827	475819	316565	201719	120544
JU1400	BGI2-RET4-JU1400	UNKNOWN	JU1400	16458864	15439266	0	78.4995	16053014	326063	23658	15630	13025	9859	6691	3876	1859	738	356	218	524	684	1549	1120	0	726435	1341315	1149425	936564	724409	282144	436167	291399	185795	112861
JU1400	BGI3-RET4a-JU1400	UNKNOWN	JU1400	41956700	39094948	0	67.6657	40918489	833793	60418	40563	33280	26052	18389	10688	5108	2168	900	481	464	1063	2980	1864	0	1878147	3501268	3035775	2513060	1968744	780145	1220360	826059	537490	328075
JU1400	MMP-ML_2-JU1400	UNKNOWN	JU1400	4388483	4302555	0	66.3153	4286588	88810	4444	2530	1887	1520	1038	606	366	190	90	45	51	53	76	77	112	300195	253023	200864	151701	107364	74348	48525	30408	19480	12420
JU1400	MMP-ML_3-JU1400	UNKNOWN	JU1400	6992760	6875516	0	67.3335	6828761	142706	7276	4007	3158	2364	1697	1021	579	297	133	80	60	89	89	171	272	488560	413521	329944	247508	177399	122414	79077	50029	31398	20224
JU1400	MMP-ML_5-JU1400	UNKNOWN	JU1400	3497500	3440392	0	74.4785	3414786	71531	3780	2137	1631	1242	826	540	307	148	56	31	15	31	49	174	216	244682	209441	166948	125430	90136	62045	40011	25427	15874	10120
JU1400	MMP-ML_6-JU1400	UNKNOWN	JU1400	4692224	4605834	0	72.0292	4582001	95467	4937	2832	2150	1696	1110	707	405	192	96	47	35	34	105	149	261	327871	278656	223324	167573	120165	83785	54304	34315	21240	13931
JU1400	MMP-ML_7-JU1400	UNKNOWN	JU1400	8750035	8586558	0	67.4516	8545941	177500	8907	5308	3871	2939	2097	1255	713	344	151	80	65	75	125	276	388	607218	515180	410461	307154	220502	151812	98094	61799	38474	25039
JU1400	Princeton1-PL_9-JU1400	UNKNOWN	JU1400	20168834	19707204	0	80.4252	19686713	421355	21815	11841	8846	6905	4821	2934	1506	739	326	131	123	386	232	109	52	1260608	1036031	805606	563016	382249	205748	129625	71506	36411	19371
JU1409	BGI1-RET5-JU1409	UNKNOWN	JU1409	16667205	16576213	0	133.504	16216630	340438	29330	20875	18517	14337	10116	6014	2936	1276	571	381	612	784	2677	1711	0	774072	1420081	1176585	917347	672789	246190	358544	220113	132187	78480
JU1409	BGI2-RET5-JU1409	UNKNOWN	JU1409	14219269	14141948	0	141.736	13833768	288483	25502	18486	15863	12953	8690	5347	2664	1127	512	343	571	828	2539	1593	0	659321	1213590	1007183	786506	579944	212273	309859	191130	116098	69691
JU1409	BGI3-RET5a-JU1409	UNKNOWN	JU1409	29561450	29397349	0	115.951	28767051	604599	52217	36628	31965	25166	17659	10647	5220	2341	895	553	505	1015	3153	1836	0	1359077	2488827	2070575	1618166	1191528	440660	645785	400280	244739	147174
JU1409	MMP-ML_2-JU1401	UNKNOWN	JU1409	4749540	4679059	0	77.8308	4636144	97918	5326	2840	2260	1678	1236	698	395	225	114	76	76	90	98	142	224	341094	287620	226641	167688	118162	80529	52233	32864	21022	13422
JU1409	MMP-ML_3-JU1401	UNKNOWN	JU1409	7242941	7157352	0	84.8387	7070364	148570	7996	4432	3445	2547	1905	1111	640	344	170	106	128	156	191	293	543	530508	451838	355062	263460	186620	127295	82137	51250	32485	20663
JU1409	MMP-ML_5-JU1401	UNKNOWN	JU1409	3747325	3703988	0	93.8434	3656852	77544	4316	2316	1879	1335	961	580	348	168	72	31	41	36	90	318	438	276290	236005	185802	136325	97226	66329	42389	26679	16772	10750
JU1409	MMP-ML_6-JU1401	UNKNOWN	JU1409	4142209	4085456	0	82.4654	4042181	86218	4659	2558	1995	1474	1057	553	350	194	95	47	39	65	95	250	379	304403	258566	204071	151340	107899	73398	47241	30231	18810	12023
JU1409	MMP-ML_7-JU1401	UNKNOWN	JU1409	7713511	7607240	0	80.3608	7529564	158726	8616	4689	3552	2799	1888	1073	623	309	165	82	71	79	181	426	668	564540	478670	376000	277763	197201	133756	85498	53828	33458	21505
JU1409	Princeton1-PL_2-JU1409	UNKNOWN	JU1409	23255354	23109209	0	148.722	22688942	491855	26400	13677	10340	7882	5614	3306	1921	860	399	175	223	705	839	967	1249	1424001	1124547	816042	534038	336367	181300	99829	52193	26771	14640
JU1409	Princeton1-PL_22-JU1409	UNKNOWN	JU1409	7096017	7050720	0	104.616	6922582	149661	8394	4386	3465	2429	1687	1023	573	277	113	65	99	374	355	414	120	472350	391656	303441	213770	150733	85238	56456	32738	17827	10328
JU1440	BGI2-RET6-JU1440	UNKNOWN	JU1440	5632011	5596408	0	122.806	5489801	113544	8425	5444	4355	3257	2243	1261	689	305	128	92	202	298	1129	838	0	242144	442396	368497	290188	213236	77839	114087	69690	42834	25271
JU1440	BGI3-RET6a-JU1440	UNKNOWN	JU1440	13679658	13591762	0	97.9817	13339220	275134	19897	13371	10395	7777	5011	2946	1489	663	340	288	362	631	1454	680	0	570165	1025154	844505	656470	476363	177170	258821	160122	98169	59428
JU1440	UChicago-EA1-JU1440	UNKNOWN	JU1440	17902983	17795384	0	91.9556	17433544	399032	23876	12751	9444	7516	5457	3411	1908	998	386	227	186	328	284	900	2735	1302994	1127900	921258	709366	524753	369040	235285	154030	95869	65045
JU1440	UChicago2-L007-JU1440	UNKNOWN	JU1440	17646461	17524563	0	82.2074	17176889	400797	24111	13119	9489	7175	5228	3246	1861	892	364	185	124	123	144	333	2381	1266972	1096867	895565	689595	498910	350414	223195	143657	88285	60399
JU1491	BGI1-RET3-JU1491	UNKNOWN	JU1491	13594371	13491885	0	118.11	13241182	273670	21796	15048	13090	10114	7212	3929	1898	802	393	258	506	704	2285	1484	0	618467	1132434	952994	749517	547993	202751	296480	180667	108197	63145
JU1491	BGI2-RET3-JU1491	UNKNOWN	JU1491	15942349	15821188	0	115.926	15528380	320988	25356	18240	15305	11599	8218	4746	2305	993	455	343	570	724	2520	1607	0	726534	1334176	1122907	885045	649988	239934	353824	216284	132350	77898
JU1491	BGI3-RET3a-JU1491	UNKNOWN	JU1491	29078666	28850613	0	89.5998	28340054	587003	44561	30198	25184	19068	13450	7694	3686	1549	728	380	377	849	2456	1429	0	1292299	2355507	1969679	1545608	1127931	417817	612150	376381	228614	134403
JU1491	Princeton1-PL_13-JU1491	UNKNOWN	JU1491	14844286	14708325	0	112.115	14488804	309607	16214	8715	6720	4989	3498	2021	1019	478	222	102	136	503	561	387	310	849472	672221	506268	352878	242579	127669	81304	45771	23620	13334
JU1491	Princeton1-PL_14-JU1491	UNKNOWN	JU1491	37829174	37472523	0	120.88	36886769	813746	43071	23205	17758	13283	9687	5925	3124	1483	715	350	353	888	1176	2534	5107	2434044	2028160	1578090	1145219	798923	496844	316252	187249	106974	63088
JU1530	BGI1-RET7-JU1530	UNKNOWN	JU1530	10688667	10620670	0	152.408	10401219	217608	18241	13156	11560	8888	6322	3565	1789	869	369	308	534	733	2174	1332	0	477342	866438	715623	554053	405433	148551	215254	130405	79242	46593
JU1530	BGI2-RET7-JU1530	UNKNOWN	JU1530	9583813	9522319	0	162.166	9325034	193407	16842	12158	10606	8408	5954	3463	1735	832	346	272	445	740	2201	1370	0	429514	783439	650103	505972	371584	137067	200251	121567	74666	44509
JU1530	BGI3-RET7b-JU1530	UNKNOWN	JU1530	15553616	15453029	0	141.767	15131723	315579	27241	20128	17590	14188	10118	5700	3024	1385	623	402	451	997	2893	1574	0	708444	1301314	1088533	857335	634740	235111	347120	214320	132429	81063
JU1530	Princeton1-PL_15-JU1530	UNKNOWN	JU1530	9996021	9922552	0	142.645	9748971	212455	12198	6640	5059	3971	2736	1475	794	368	157	72	133	383	313	202	94	518100	405956	300298	195513	136754	65616	41749	23460	11256	6251
JU1530	Princeton1-PL_16-JU1530	UNKNOWN	JU1530	46295955	45946588	0	99.1062	45114135	1012452	57990	30898	23748	18759	13450	7780	4496	2214	894	446	370	754	1076	2378	4115	3115906	2633005	2075945	1527632	1094870	694891	453309	272948	158901	95776
