strain	Isotype	iso_group	n
MY2344	NA	154	179
MY2532	NA	154	179
MY2535	NA	154	179
MY881	NA	154	179
NIC508	NA	154	179
NIC512	NA	154	179
MY2585	NA	155	179
MY2623	NA	155	179
MY2635	NA	156	179
MY2679	NA	156	179
MY2689	NA	156	179
MY2713	NA	156	179
MY2693	NA	157	179
MY518	NA	158	179
MY538	NA	159	179
MY772	NA	160	179
MY991	NA	161	179
NIC1049	NA	163	179
NIC1107	NA	164	179
NIC501	NA	194	179
NIC511	NA	195	179
NIC513	NA	196	179
NIC514	NA	197	179
NIC515	NA	198	179
NIC521	NA	199	179
NIC527	NA	199	179
NIC522	NA	200	179
NIC523	NA	201	179
NIC526	NA	202	179
NIC528	NA	203	179
NIC529	NA	204	179
XZ1513	NA	222	179
XZ1514	NA	223	179
XZ1515	NA	224	179
XZ1516	NA	225	179
