strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
JU1212	48.71	-3.81	rotting arum stem	2007-09-24	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Primel Tregastel, France
JU1213	48.71	-3.81	rotting apple	2007-09-24	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Primel Tregastel, France
JU1242	49.1269	1.9595	black slug	2007-10-14	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil, France
JU1246	49.12618	1.96152	rotting apple	2007-10-14	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Santeuil, France
JU1395	47.2199	0.04619	compost with shiitake mushrooms	2008-03-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Saut-aux-Loups, France
JU1395	47.22032	0.045399	shiitake mushroom compost remains outside the mushroom farm Le Saut-aux-Loups,	2008-03-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Montsoreau, France
JU1395	47.2199	0.04619	compost with shiitake mushrooms	2008-03-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Saut-aux-Loups, France
JU1395	47.22032	0.045399	shiitake mushroom compost remains outside the mushroom farm Le Saut-aux-Loups,	2008-03-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Montsoreau, France
JU1400	37.3845	-5.988	rotting oranges	2008-03-01	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Sevilla, Spain
JU1409	37.468	-5.637	rotting cactus fruit	2008-03-31	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Carmona, Spain
JU1440	41.41307	2.15231	rotting palm fruits	2008-06-09	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Barcelona, Spain
JU1491	46.63	1.06	rotting arum stem	2008-08-17	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Le Blanc, France
JU1516	48.7015	2.1725	rotting apple	2008-09-09	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1530	48.7015	2.1725	rotting apple	2008-09-09	NA	Marie-Anne Felix	#ERROR!	#ERROR!	#ERROR!	Orsay, France
JU1530MAF	48.662134	2.2131	rotting apple O21 (tree Wealthy, like O20), sampled in the Orsay orchard	NA	NA	#N/A	#ERROR!	#ERROR!	#ERROR!	Orsay, France
