strain	latitude	longitude	isolation	date_isolated	comment	isolated_by	city	state_province	country	location_raw
QG536	37.7502	-122.4331	NA	2004-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QG536 #2	NA	NA	NA	2004-01-01	NA	NA	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QG537	37.7502	-122.4331	rotten solanaceous fruit, Buena Vista Park	2010-12-30	NA	NA	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QG537 #2	NA	NA	NA	2004-01-01	NA	NA	NA	NA	NA	San Francisco, USA
QG538	37.7502	-122.4331	rotten solanaceous fruit, Buena Vista Park	2010-12-30	NA	NA	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QG538 #2	NA	NA	NA	2004-01-01	NA	NA	NA	NA	NA	San Francisco, USA
QG556	34.421629	-119.702021	rotting orange peel, with snails	2011-06-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santa Barbara, CA
QG557	34.421629	-119.702021	rotting orange peel, with snails	2011-06-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santa Barbara, CA
QG558	34.421629	-119.702021	rotting orange peel, with snails	2011-06-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santa Barbara, CA
QG558 #2	34.421629	-119.702021	rotting orange beneath a non-edible fig tree; orange had large snail and two slugs	2011-06-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santa Barbara, USA
QW947	-33.4213	-70.6106	compost heap with moist rotting grass (urban park) at Univerisdad Mayor, Camino la Piramide	2013-04-12	NA	NA	#ERROR!	#ERROR!	#ERROR!	Santiago, Chile
QX1211	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1212	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1213	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1214	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1215	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1216	37.7502	-122.4331	rotting orange	2007-11-26	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	San Francisco, USA
QX1233	37.8804	-122.2838	isolated from Jason Stajich	2007-11-24	NA	Matthew Rockman	#ERROR!	#ERROR!	#ERROR!	Berkeley, USA
QX1791	20.6344	-156.3935	rotting bark, base of eucalyptus tree	2011-01-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1791 #2	20.6344	-156.3935	rotting bark, base of eucalyptus tree	2011-01-27	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1792	20.70554	-156.35475	rotting orange flowers	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1792 #2	20.70554	-156.35475	rotting orange flowers	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1793	20.70559	-156.35678	Wilma's vermiculate compost bin	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1793 #2	20.70559	-156.35678	Wilma's vermiculate compost bin	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1794	20.70559	-156.35678	Wilma's vermiculate compost bin	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
QX1794 #2	20.70559	-156.35678	Wilma's vermiculate compost bin	2011-01-28	NA	NA	#ERROR!	#ERROR!	#ERROR!	Maui, USA
RC301	47.99	7.84	NA	1983-01-01	NA	Randy Cassada	#ERROR!	#ERROR!	#ERROR!	Freiburg, Germany
WN2001	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2002	51.975285	5.694834	NA	2007-11-11	NA	Joost Riksen	#ERROR!	#ERROR!	#ERROR!	Wageningen, Netherlands
WN2010	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2011	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2013	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2014	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2016	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2017	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2018	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2019	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2020	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
WN2021	51.954422	6.303406	snail from organic waste bin	2008-06-26	NA	NA	#ERROR!	#ERROR!	#ERROR!	Doetichem, Netherlands
XZ1513	22.1	-156.67	rotten small red berries	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Pu'u Hinahina lookout on Kauai
XZ1514	22.1	-159.6	rotten small fruit (papaya or mango?)	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Awa'awapuhi trail on Kauai
XZ1515	22.1	-159.6	rotten small berries	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Awa'awapuhi trail on Kauai
XZ1516	22.1	-159.6	rotten small berries	NA	NA	NA	#ERROR!	#ERROR!	#ERROR!	Awa'awapuhi trail on Kauai
